"Hostname","IPAddress","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft 365 - en-us","16.0.19328.20244","Microsoft Corporation","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\O365HomePremRetail - en-us",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft OneDrive","25.209.1026.0002","Microsoft Corporation","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OneDriveSetup.exe",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","PyCharm 2025.2.1.1","252.25557.178","JetBrains s.r.o.","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\PyCharm 2025.2.1.1",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","VLC media player","3.0.20","VideoLAN","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\VLC media player",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Python 3.13.9 Executables (64-bit)","3.13.9150.0","Python Software Foundation","02D1A932-310B-4765-8F92-58D0DA2ABBE7","10/29/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{02D1A932-310B-4765-8F92-58D0DA2ABBE7}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Python 3.12.2 Executables (64-bit)","3.12.2150.0","Python Software Foundation","097D2A37-E94B-4FAD-8C89-D63443BD4D4A","3/18/2024 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{097D2A37-E94B-4FAD-8C89-D63443BD4D4A}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","SQL Server 2022 SQL Diagnostics","16.0.1000.6","Microsoft Corporation","0CEFE958-E71A-4171-9DEF-77E9234A5613","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0CEFE958-E71A-4171-9DEF-77E9234A5613}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","0E0F96AC-80DE-4400-A40C-429D63293651","6/16/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0E0F96AC-80DE-4400-A40C-429D63293651}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","VMware Workstation","17.0.0","VMware, Inc.","0E992720-1330-4AB3-8155-255F79785535","10/12/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0E992720-1330-4AB3-8155-255F79785535}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Python 3.13.9 Test Suite (64-bit)","3.13.9150.0","Python Software Foundation","0F01F96E-3695-419B-8F5D-583AAF38417E","10/29/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{0F01F96E-3695-419B-8F5D-583AAF38417E}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","SQL Server 2022 Shared Management Objects","16.0.1000.6","Microsoft Corporation","12618131-AA9A-4DAE-9387-CE4417955B9F","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{12618131-AA9A-4DAE-9387-CE4417955B9F}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35208","14.44.35208","Microsoft Corporation","130A991B-6E86-4D62-86F4-656E6C9DA867","6/13/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{130A991B-6E86-4D62-86F4-656E6C9DA867}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","SQL Server 2022 Database Engine Shared","16.0.1000.6","Microsoft Corporation","161B8D12-C41B-4ACF-9BB5-E1FEE6788869","7/14/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{161B8D12-C41B-4ACF-9BB5-E1FEE6788869}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Oracle VM VirtualBox 7.0.8","7.0.8","Oracle and/or its affiliates","2D9D28CD-84DE-4DC7-BAD2-CA5505324049","8/10/2023 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{2D9D28CD-84DE-4DC7-BAD2-CA5505324049}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Python 3.13.9 pip Bootstrap (64-bit)","3.13.9150.0","Python Software Foundation","30E2F48C-8D95-4070-912A-7837D50D0B22","10/29/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{30E2F48C-8D95-4070-912A-7837D50D0B22}",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft SQL Server 2019 T-SQL Language Service ","15.0.2000.5","Microsoft Corporation","31D27B41-A051-49D8-907A-62E0F4A2188C","7/7/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{31D27B41-A051-49D8-907A-62E0F4A2188C}",
